,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,11409899.103027344,429058.11279296875,0.38046786587054826,0.6120883916262063,0.001
1,9812141.618652344,380530.0400390625,0.5136420264519047,0.6426922585127203,0.001
2,8637074.982421875,398630.1611328125,0.5932098449569831,0.64227404137521,0.001
3,7599301.446044922,351573.65478515625,0.6611213510455011,0.6324312679082427,0.001
4,7018788.6630859375,331671.7940673828,0.6983198297896235,0.6438426778170827,0.001
5,6422143.791748047,347182.83349609375,0.7301971108272138,0.6311030371644797,0.001
6,6034400.6337890625,348129.3347167969,0.7496885417788302,0.6277493136218145,0.001
7,5721387.294433594,356551.1960449219,0.7642258362327506,0.6291439026245998,0.0001
8,5313512.544921875,353775.8107910156,0.7837007639649346,0.6306523007055327,0.0001
9,5273746.963989258,353217.72985839844,0.7879962838396724,0.6303379936733786,1e-05
10,5289750.431152344,352136.83837890625,0.7883081033902717,0.6301960412701331,1e-05
11,5355320.549072266,353073.0383300781,0.7834284665835762,0.6299742751788524,1.0000000000000002e-06
12,5262967.885803223,352945.17138671875,0.7885214874566775,0.629941397254983,1.0000000000000002e-06
13,5233623.818481445,352987.0860595703,0.7892787695253635,0.6299252286453543,1.0000000000000002e-07
14,5200113.501953125,353021.20568847656,0.7916618308845252,0.6299015866155865,1.0000000000000002e-07
