,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,12712446.987304688,482863.9289550781,0.2639044515176382,0.4401780513753142,0.001
1,12006152.590332031,443683.4345703125,0.3273568948671212,0.49259274147029875,0.001
2,11521960.352539062,419916.4334716797,0.3712564705568109,0.5092899680324211,0.001
3,11293191.918945312,454203.0490722656,0.39418936301484847,0.4773735581836014,0.001
4,11071700.796875,422872.6003417969,0.4167007367246467,0.5000598214544536,0.001
5,9891336.247070312,428444.19189453125,0.4977203628782296,0.5285960315072815,0.0001
6,9604836.727539062,425258.92333984375,0.5241850006482284,0.528614387964331,0.0001
7,9342483.594726562,425619.8992919922,0.5404320985711439,0.5302014622897696,1e-05
8,9131932.146972656,420624.8547363281,0.5535298464112717,0.5300476307517373,1e-05
9,9226285.41796875,421865.9415283203,0.5445607172983613,0.5300025992800999,1.0000000000000002e-06
10,9141383.240234375,422708.1838378906,0.5521921089266313,0.5298832036793062,1.0000000000000002e-06
11,9183375.324707031,422759.6492919922,0.5512285248412203,0.5298798083654516,1.0000000000000002e-07
12,9265103.782714844,422828.0361328125,0.5475084893007285,0.5298758381958233,1.0000000000000002e-07
