,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,11555165.391113281,340913.3493652344,0.370868019202332,0.6584695652293275,0.001
1,10289685.836914062,333060.54931640625,0.47719830571743266,0.6785712086426691,0.001
2,9943127.430175781,342185.1398925781,0.5032849694013931,0.6682586572875747,0.001
3,9419282.528320312,305181.8713378906,0.5375819844336603,0.6792563436496744,0.001
4,9378124.886230469,343956.3181152344,0.54645384767258,0.6652191498312844,0.001
5,8999808.125488281,336203.4560546875,0.5683285557555354,0.6685953595407814,0.001
6,8225414.650390625,324884.2900390625,0.6192261929153458,0.6661624589964338,0.0001
7,8039810.5517578125,337729.38818359375,0.6297188019221507,0.6628858797088366,0.0001
8,7733047.642578125,333107.41162109375,0.6462343877189605,0.6616548168170862,1e-05
9,7835849.720458984,331479.2080078125,0.6426241542226457,0.661859388062591,1e-05
10,7757559.454833984,331816.08447265625,0.6448813123939722,0.6617361929308092,1.0000000000000002e-06
11,7865273.4384765625,331903.5830078125,0.6413822167906016,0.6618031719379975,1.0000000000000002e-06
12,7821014.190673828,331971.736328125,0.6431212255473311,0.6618004260544854,1.0000000000000002e-07
13,7850923.003662109,332019.71630859375,0.6423343933755515,0.6617816332974753,1.0000000000000002e-07
