,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,10790295.060058594,330264.4348144531,0.4458876555064503,0.668975524449969,0.001
1,9926483.401367188,299652.66455078125,0.5055841360092241,0.7027083993073618,0.001
2,9676761.840820312,343890.2663574219,0.5252956871273881,0.6245239429049985,0.001
3,9315244.980957031,336511.35546875,0.5449224545240179,0.710229743487158,0.001
4,8908593.655761719,276898.9738769531,0.5778336743517881,0.7262029935804165,0.0001
5,8488976.203613281,271270.0837402344,0.6005455229421881,0.7262024084161829,0.0001
6,8315361.3818359375,288733.9560546875,0.6099562032114881,0.7197233718775088,0.0001
7,8068326.726318359,283345.23291015625,0.6284800219987022,0.7175774758325665,0.0001
8,7763222.135009766,285480.1867675781,0.6435004513445048,0.7174801821302699,1e-05
9,7822185.4609375,286215.0700683594,0.6419026041660589,0.7154070440319431,1e-05
10,7900562.583496094,287127.8991699219,0.6367369151267072,0.7152544949174244,1.0000000000000002e-06
11,7810461.280029297,287294.6809082031,0.6449817187819658,0.7151778003661878,1.0000000000000002e-06
12,7821876.766113281,287255.11083984375,0.645223126635035,0.7151825657898598,1.0000000000000002e-07
13,7768990.913330078,287254.37060546875,0.6458503687137434,0.715173424258587,1.0000000000000002e-07
