,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,11492287.931640625,388750.47265625,0.3860523748898127,0.6365198741467488,0.001
1,9958280.953613281,342417.9982910156,0.5026272861660728,0.640174778517165,0.001
2,9310454.711425781,336672.31201171875,0.5508258628314249,0.6550766325672257,0.001
3,8456484.704589844,341634.19775390625,0.6018607338009003,0.6544795191799841,0.001
4,8123791.822753906,370807.60498046875,0.6328920772244044,0.6111014793930798,0.001
5,7024043.220703125,338613.7468261719,0.6920450483959748,0.640298591917831,0.0001
6,6533566.74609375,347361.81787109375,0.718056826279469,0.6350505927686717,0.0001
7,6139326.811279297,346131.09912109375,0.7404657599437886,0.6365772416683284,1e-05
8,6042132.088989258,345427.171875,0.7433536742352302,0.6362246792142794,1e-05
9,6079311.777099609,345595.40625,0.7420444715767827,0.6361836934298293,1.0000000000000002e-06
10,6184232.123291016,345701.3935546875,0.7379455807614733,0.6361468209834038,1.0000000000000002e-06
11,6117432.1171875,345725.34765625,0.7430724489690529,0.6361300483206767,1.0000000000000002e-07
12,6183290.396484375,345731.5358886719,0.7399775059948226,0.6361272921456864,1.0000000000000002e-07
