,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,8658109.919433594,324422.05224609375,0.5424496550152536,0.6965436113492305,0.0002365898607368
1,7616123.165527344,309554.13671875,0.6142382365050069,0.7194505397037341,0.0002365898607368
2,7152878.912109375,326222.16796875,0.644663911098828,0.697798542286121,0.0002365898607368
3,6648022.030517578,334482.984375,0.6765272398857508,0.6886221277164022,0.0002365898607368
4,5441505.855712891,340300.15673828125,0.7473769620216315,0.6783958446692118,4.731797214736e-05
5,4667980.090209961,359975.5966796875,0.7876841643044552,0.662102594166565,4.731797214736e-05
6,4071025.3129882812,363427.41455078125,0.8194655364052829,0.6588553729837516,9.463594429472002e-06
7,3838376.887084961,368794.5771484375,0.8305335293895867,0.6548011396502598,9.463594429472002e-06
8,3739196.492553711,370687.7373046875,0.8369222526873119,0.6533118521741437,1.8927188858944004e-06
9,3751426.454223633,373101.61328125,0.8355842239212723,0.6510816041961328,1.8927188858944004e-06
10,3738733.045654297,372936.77880859375,0.8372199629938218,0.6511780585962873,3.785437771788801e-07
11,3697203.737915039,373144.1884765625,0.8384919984096585,0.6510256068956901,3.785437771788801e-07
