,total_loss,avg_loss,correlation,p
labse_best_ro,336840.1296386719,336.8401296386719,0.7223356676929309,4.813238565539193e-162
bert-cls_last_ro,335251.8518066406,335.2518518066406,0.7222504404633687,5.473597403016113e-162
distil_last_ro,375900.8899536133,375.9008899536133,0.6641402229921991,3.2067586132272783e-128
bert-mean_best_ro,276238.5693359375,276.2385693359375,0.7679316044894503,2.7815697890337447e-195
bert-mean_last_ro,351865.6989746094,351.86569897460936,0.7037347835291127,2.4697928727689687e-150
distil_last_ru,438718.75341796875,438.71875341796874,0.6144015321146175,7.805198028106261e-105
distil_best_mixed,929454.2720947266,309.8180906982422,0.6750925881923066,0.0
laser_last_de,178873.65435791016,178.87365435791017,0.21654578128395846,4.468846449074588e-12
paraphrase_last_mixed,1010904.7403564453,336.96824678548177,0.6475765982313733,0.0
paraphrase_best_ru,441872.419921875,441.872419921875,0.6065733691257231,1.5850179934474146e-101
bert-cls_best_mixed,870347.798828125,290.11593294270835,0.7041734769662081,0.0
static_last_ru,653251.6499023438,653.2516499023437,0.3900332639611107,1.112033140851182e-37
paraphrase_best_ro,338867.48571777344,338.86748571777343,0.706638658265977,4.22008186656252e-152
paraphrase_last_ru,450727.5341796875,450.7275341796875,0.603619337339842,2.6570926573824133e-100
distil_best_ro,346845.3817138672,346.8453817138672,0.6907725528474369,1.0609752200976054e-142
distil_best_de,183471.58074951172,183.47158074951173,0.22430072790674932,7.190448307508754e-13
paraphrase_best_de,204364.27514648438,204.36427514648437,0.12753275034467632,5.245261296183887e-05
laser_last_ro,416182.7255859375,416.1827255859375,0.6339167476909402,1.6891672018607393e-113
bert-mean_last_de,190907.98950195312,190.90798950195312,0.23013567255088316,1.738092889046818e-13
bert-mean_best_ru,397966.98974609375,397.96698974609376,0.6495136501544939,6.927374736898068e-121
labse_best_mixed,897560.6109619141,299.18687032063804,0.6940010588636669,0.0
static_best_de,202833.5440673828,202.8335440673828,0.03729089944677013,0.23872617791384781
labse_last_ro,376291.0173339844,376.29101733398437,0.6734554904712042,4.112962219955864e-133
xlmr_last_de,212222.00927734375,212.22200927734374,0.1740760100987539,3.020692040038336e-08
xlmr_best_de,190500.62518310547,190.50062518310546,0.22929339523515654,2.1386625857004645e-13
xlmr_best_mixed,947844.8325805664,315.94827752685546,0.6646513886785879,0.0
bert-cls_best_ro,287138.40087890625,287.1384008789062,0.7611295682483239,7.471202381189109e-190
laser_best_de,186786.37396240234,186.78637396240234,0.16108287266861826,3.039294442942895e-07
laser_best_mixed,951320.6127929688,317.1068709309896,0.6628375467611458,0.0
xlmr_last_ro,343892.9743652344,343.89297436523435,0.7013597167060789,6.640496184762477e-149
bert-mean_best_de,169043.8569946289,169.0438569946289,0.3263312409515018,3.041878249999973e-26
bert-cls_last_mixed,972801.623840332,324.2672079467773,0.6661089863220906,0.0
labse_best_de,173495.2642211914,173.4952642211914,0.27406697842124256,1.0902696282471813e-18
laser_best_ro,368043.2745361328,368.0432745361328,0.6648873393692138,1.3189829048607194e-128
laser_best_ru,396490.6286621094,396.4906286621094,0.6507960675905651,1.6358183826146405e-121
distil_last_mixed,1022906.4410400391,340.968813680013,0.6416862708891286,0.0
static_best_ro,497895.2091064453,497.8952091064453,0.5098519004947448,2.8521282931604577e-67
static_last_mixed,1422828.4631347656,474.2761543782552,0.47823080772878956,2.6740267036405266e-171
bert-cls_last_de,190279.90747070312,190.27990747070314,0.1776659877470248,1.546507831425854e-08
distil_best_ru,399137.30859375,399.13730859375,0.6523266227720995,2.8947931983788895e-122
labse_best_ru,387225.2165527344,387.22521655273437,0.6672926068216929,7.421198086323378e-130
paraphrase_last_ro,346222.3635864258,346.2223635864258,0.6949119611484698,4.2900560027331126e-145
static_last_ro,571255.9621582031,571.2559621582031,0.4671695651700455,2.3596445756481856e-55
paraphrase_best_mixed,985104.2239379883,328.3680746459961,0.6566589619493843,0.0
static_best_ru,531524.6845703125,531.5246845703125,0.48805532578574756,5.6445684926910756e-61
bert-cls_best_de,173519.64404296875,173.51964404296876,0.3090478542051418,1.4241751284610118e-23
bert-mean_last_mixed,982939.2869873047,327.64642899576825,0.6642378862515421,0.0
bert-mean_best_mixed,841797.4548339844,280.5991516113281,0.7106873705379266,0.0
paraphrase_last_de,213954.81567382812,213.95481567382814,0.14766357224365254,2.739789378470432e-06
bert-mean_last_ru,438996.49169921875,438.9964916992187,0.6178998055711491,2.420802874604439e-106
labse_last_mixed,959141.4971923828,319.7138323974609,0.6714334564816675,0.0
xlmr_best_ro,329565.5686035156,329.5655686035156,0.7066195871213259,4.335095661042475e-152
labse_last_de,192204.19439697266,192.20419439697267,0.22025732712995355,1.880007903494861e-12
distil_last_de,208286.79711914062,208.28679711914063,0.14650712804007637,3.2826507736989068e-06
static_best_mixed,1232253.4389648438,410.75114632161456,0.5290708574393463,4.539273036223058e-216
bert-cls_last_ru,447269.857421875,447.269857421875,0.6045788083697681,1.0669346439032664e-100
xlmr_last_mixed,993466.1762695312,331.15539208984376,0.6556410743432628,0.0
laser_last_ru,443569.1630859375,443.5691630859375,0.6160511374659972,1.5256533409246396e-105
static_last_de,198320.87176513672,198.32087176513673,0.12634850371793915,6.16095241532759e-05
xlmr_last_ru,437351.17529296875,437.3511752929688,0.6153584082816214,3.0316069994132095e-105
labse_last_ru,390646.31201171875,390.64631201171875,0.666396996423556,2.1736805089865037e-129
bert-cls_best_ru,409689.7333984375,409.6897333984375,0.6396143925174634,3.7913490354675324e-116
xlmr_best_ru,427778.63525390625,427.77863525390626,0.6150369498414774,4.166843076370687e-105
laser_last_mixed,1038626.1423950195,346.20871413167316,0.6382184091759198,0.0
