,total_loss,avg_loss,correlation,p
labse_last_de,179148.18713378906,179.14818713378907,0.24828459312519408,1.6296835244876708e-15
labse_best_ro,328982.48486328125,328.98248486328123,0.7067943761645101,3.38793489849288e-152
bert-cls_last_ro,354413.87939453125,354.41387939453125,0.6980611075207326,6.084582405319113e-147
labse_best_de,173054.4393310547,173.05443933105468,0.27952547822093077,2.0891926465560746e-19
labse_last_mixed,960896.7075195312,320.29890250651044,0.66883056104706,0.0
laser_last_mixed,968845.5900878906,322.9485300292969,0.6563503572832644,0.0
bert-mean_best_de,164717.07647705078,164.71707647705077,0.3697858959352068,9.244411583326239e-34
distil_last_mixed,1044639.2928466797,348.2130976155599,0.6354883373258955,0.0
bert-mean_last_ro,344188.6767578125,344.1886767578125,0.7083748950592474,3.615838631687001e-153
xlmr_best_ru,424116.2653808594,424.1162653808594,0.6205880007766301,1.628653325355992e-107
paraphrase_last_de,183200.62176513672,183.20062176513673,0.21010057006724595,1.9370243522279365e-11
distil_best_ru,431842.87841796875,431.84287841796873,0.614880825982149,4.862254700037116e-105
bert-cls_last_de,176261.84301757812,176.26184301757812,0.2510011624875217,7.83509895496908e-16
xlmr_best_mixed,949616.9082641602,316.5389694213867,0.6643957793732506,0.0
distil_best_ro,376515.6697998047,376.5156697998047,0.6610953726711902,1.1668249867180085e-126
static_last_de,198662.77014160156,198.66277014160156,0.07860136058614675,0.01290674940169132
xlmr_best_de,188461.9561767578,188.4619561767578,0.205487981974434,5.377084088999594e-11
bert-cls_best_ro,338544.2419433594,338.5442419433594,0.7148426149469524,3.256698455926728e-157
distil_best_mixed,988168.6841430664,329.38956138102213,0.6496098543637632,0.0
paraphrase_best_de,181946.54724121094,181.94654724121094,0.21133232635627114,1.468847436070318e-11
labse_best_ru,386607.70068359375,386.60770068359375,0.6621874565916599,3.2304346472811558e-127
bert-cls_best_ru,400591.9794921875,400.5919794921875,0.6524252366235141,2.5882641607506916e-122
static_last_ro,506465.6016845703,506.4656016845703,0.49617334592855544,2.8812186552715393e-63
laser_last_de,177840.3624267578,177.84036242675782,0.2246068174093384,6.680790824700394e-13
xlmr_last_de,188063.67877197266,188.06367877197266,0.22026862938968245,1.87501269183724e-12
bert-mean_last_de,170932.41015625,170.93241015625,0.29703693745065474,8.08384132773935e-22
bert-cls_best_mixed,905948.3560791016,301.98278535970053,0.6901255209418073,0.0
bert-mean_best_ru,400419.92578125,400.41992578125,0.6488118110140351,1.5217262575155867e-120
static_last_ru,583486.470703125,583.486470703125,0.4376024251412687,4.929550870414654e-48
bert-cls_last_ru,418767.6184082031,418.76761840820313,0.6308207488991341,4.4037059438490495e-112
laser_best_mixed,964810.5888671875,321.60352962239585,0.6571083647373124,0.0
static_best_mixed,1219715.9400024414,406.5719800008138,0.5329137116412197,8.990693064280767e-220
bert-mean_last_ru,426279.9765625,426.2799765625,0.6300757801901968,9.597896884906342e-112
laser_best_ru,401551.99462890625,401.55199462890624,0.6460414211586256,3.3312671112645386e-119
laser_last_ro,388713.9375,388.7139375,0.6452465764157064,8.027337894858006e-119
distil_last_ro,398262.32904052734,398.26232904052733,0.6432267558275291,7.414578901102848e-118
laser_best_ro,385470.3681640625,385.4703681640625,0.6464676382689443,2.0764466360767865e-119
xlmr_last_mixed,971222.5378417969,323.7408459472656,0.6625671534167287,0.0
bert-cls_best_de,166812.0923461914,166.8120923461914,0.34409885014871006,3.5640060937097606e-29
xlmr_last_ro,347371.2755126953,347.3712755126953,0.6925184645530075,1.0501235426227096e-143
distil_last_ru,461641.58203125,461.64158203125,0.6002923964945001,6.138604583635014e-99
static_best_ru,540660.8979492188,540.6608979492188,0.47990769263485866,9.792254395170095e-59
bert-mean_best_ro,292030.0676269531,292.0300676269531,0.7572452850283564,7.811549084052886e-187
labse_best_mixed,888644.6416625977,296.2148805541992,0.6896289685683579,0.0
distil_best_de,179810.1484375,179.8101484375,0.22577161094137094,5.045480301131411e-13
paraphrase_last_ro,354440.7823486328,354.4407823486328,0.6830583317113279,2.3960088358632373e-138
labse_last_ru,416235.400390625,416.235400390625,0.6428219746375541,1.1553224247541256e-117
paraphrase_best_mixed,952739.0194091797,317.57967313639324,0.6641965509963987,0.0
paraphrase_best_ru,418761.6982421875,418.7616982421875,0.6288697463292062,3.3727875750485745e-111
bert-mean_last_mixed,939760.7406005859,313.2535802001953,0.6785541370610404,0.0
distil_last_de,184735.39416503906,184.73539416503905,0.21015359905199965,1.914155858339837e-11
static_best_ro,485794.0993652344,485.7940993652344,0.5126121994826439,4.214939617030859e-68
laser_best_de,177787.65771484375,177.78765771484376,0.22513595915480408,5.88197785313993e-13
static_last_mixed,1288614.837524414,429.5382791748047,0.5114601168500714,1.0741030572160297e-199
labse_last_ro,365513.0994873047,365.5130994873047,0.6789023844252993,4.672538490183163e-136
paraphrase_last_mixed,962632.1165161133,320.8773721720378,0.66194331699163,0.0
xlmr_last_ru,435787.572265625,435.787572265625,0.6199384017148926,3.1341340858436745e-107
bert-cls_last_mixed,949443.3913574219,316.48113045247396,0.6703480077362314,0.0
paraphrase_best_ro,352030.76501464844,352.0307650146484,0.6843950136767367,4.313019887718063e-139
paraphrase_last_ru,424990.70458984375,424.99070458984374,0.624888644299268,2.0545272736820396e-109
bert-mean_best_mixed,855813.6862792969,285.2712287597656,0.7060976057589285,0.0
laser_last_ru,402290.68115234375,402.2906811523437,0.6457681708434884,4.508669001808058e-119
xlmr_best_ro,337038.69775390625,337.03869775390626,0.6996700372607534,6.77014718386416e-148
static_best_de,193260.94049072266,193.26094049072265,0.09850461095511902,0.0018166268052228253
