,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,9629629.748535156,345271.70849609375,0.462159068082301,0.670925667448189,8.858588421819022e-05
1,7626341.306640625,326955.1711425781,0.611343649816898,0.687050662431883,8.858588421819022e-05
2,6538870.072509766,334463.373046875,0.6816833619564014,0.6821278033871943,8.858588421819022e-05
3,5437807.47265625,348926.8479003906,0.7464467385075205,0.664772055400188,8.858588421819022e-05
4,4344957.96472168,341623.60986328125,0.8062866678137577,0.6771382841052963,1.7717176843638044e-05
5,3806470.0372314453,342893.5283203125,0.8322081008816806,0.6755535021069092,1.7717176843638044e-05
6,3502462.510498047,348003.80224609375,0.8483932418995525,0.6715752258646341,3.543435368727609e-06
7,3361506.7623901367,349268.16357421875,0.8545279116615649,0.6692873135140671,3.543435368727609e-06
8,3372588.537963867,350608.47802734375,0.8550716830774865,0.668945943938014,7.086870737455219e-07
9,3390958.525756836,351246.767578125,0.8538479788471578,0.6681625005250913,7.086870737455219e-07
10,3393613.382446289,351324.29833984375,0.8543332900864942,0.6680575354897236,1.4173741474910438e-07
11,3372542.0494384766,351478.1728515625,0.8546125383221107,0.66800823892382,1.4173741474910438e-07
