,dropout,learning_rate,weight_decay,lr_scheduler_gamma,validation_accuracy,model_architecture
paraphrase_best_params,0.1,0.0001775698391135611,0.0036409387562986954,0.30000000000000004,0.6024090363915142,deep_encoder_shallow_estimator
distil_best_params,0.2,0.00021763540242669102,0.003036013276347363,0.1,0.61652030688181,shallow_estimator
labse_best_params,0.1,2.672696079211378e-05,7.458231564763215e-05,0.7000000000000001,0.6877168091744184,base
bert-mean_best_params,0.1,0.00026440426325256036,0.00023666290276479053,0.6,0.6925797026913179,shallow_estimator
static_best_params,0.1,1.934311581690286e-05,0.00042346782209778803,0.1,0.5246582730499207,deep_encoder_shallow_estimator
xlmr_best_params,0.1,8.858588421819022e-05,0.000760378442645536,0.2,0.620842796615725,deep_encoder_shallow_estimator
bert-cls_best_params,0.1,0.00023658986073689422,6.219854079420048e-05,0.2,0.659189276474516,deep_encoder_shallow_estimator
laser_best_params,0.30000000000000004,4.5986154737339014e-05,0.0045638653389365015,0.7000000000000001,0.666357451938131,deep_encoder
