,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,9045680.367675781,333360.75146484375,0.5113794229246134,0.6835523376148025,0.0002644042632525
1,7990469.854980469,333787.53173828125,0.5892881434663266,0.6922373694731674,0.0002644042632525
2,7636897.463134766,351590.31982421875,0.6132872885478312,0.6882790641762395,0.0002644042632525
3,7106244.776855469,327422.2099609375,0.646582251045296,0.700426658390793,0.00015864255795150001
4,6906284.224853516,322532.0966796875,0.6605976540500109,0.6937411491386423,0.00015864255795150001
5,6554074.217041016,345285.95263671875,0.6825560880984434,0.6699498687870653,0.00015864255795150001
6,6171370.54296875,343277.0380859375,0.704261988944495,0.674569144136525,0.00015864255795150001
7,5464316.4658203125,341377.73291015625,0.7439776981306157,0.6768088971227013,9.518553477090001e-05
8,5059469.265869141,353866.80078125,0.7675995549994135,0.6650931276591088,9.518553477090001e-05
9,4448936.962768555,369931.16552734375,0.7992851997267408,0.6552631769474244,5.7111320862540004e-05
10,4064657.6013183594,374974.9873046875,0.8202326578142517,0.6520149631406932,5.7111320862540004e-05
11,3732833.8521728516,382686.3046875,0.837778238476555,0.6479688353620076,3.4266792517524e-05
12,3556129.426574707,376927.84228515625,0.8470760740388572,0.6485875540020811,3.4266792517524e-05
13,3191669.8735351562,393941.822265625,0.8637477435801663,0.6393159962206709,2.05600755105144e-05
14,3056408.118347168,391322.72509765625,0.870195015140794,0.6367353545810942,2.05600755105144e-05
15,3103398.655395508,388546.037109375,0.8688634726622539,0.6411286001673588,1.2336045306308638e-05
16,2922410.1799316406,387287.81787109375,0.8774821021948813,0.6418873822622384,1.2336045306308638e-05
17,2922323.403137207,390961.93408203125,0.8774223404644155,0.6379520573300599,7.401627183785183e-06
18,2875570.3426208496,392654.4501953125,0.8798353948154931,0.6386820562340478,7.401627183785183e-06
19,2827955.355316162,392998.79248046875,0.8826956284680423,0.6377864082234247,4.44097631027111e-06
20,2735211.937194824,392830.115234375,0.8855745002518288,0.63804033646721,4.44097631027111e-06
21,2666307.349609375,391196.18212890625,0.8889623113673543,0.6373760395751251,2.664585786162666e-06
22,2782495.0390625,394402.8720703125,0.8848393278483515,0.6367557503078876,2.664585786162666e-06
23,2767466.0917663574,393314.54833984375,0.8850374196622588,0.6368921047630844,1.5987514716975997e-06
24,2584569.726135254,393345.33447265625,0.8923326768686124,0.6374968610226689,1.5987514716975997e-06
25,2703741.546081543,392885.662109375,0.8876913829385852,0.637404942324419,9.592508830185599e-07
26,2721900.127258301,393136.68896484375,0.8860402174556403,0.6365397737666065,9.592508830185599e-07
27,2747663.7411193848,393193.9921875,0.8854857962115488,0.6370572566193673,5.755505298111359e-07
28,2703115.674682617,393054.982421875,0.8880902005569323,0.6372083095889619,5.755505298111359e-07
29,2722778.2179260254,393383.96484375,0.8867239615184054,0.6370458463937786,3.453303178866815e-07
