,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,12805095.450195312,396998.7257080078,0.32785596273624584,0.6707488313994492,4.598615473733901e-05
1,11686911.994140625,350937.20703125,0.43014630924856706,0.682558151449496,4.598615473733901e-05
2,11349896.11328125,398867.6887207031,0.4554491765438483,0.692961342962605,4.598615473733901e-05
3,11020047.714355469,358834.1320800781,0.48004225023386654,0.6954064117521922,4.598615473733901e-05
4,10674916.898925781,356080.7121582031,0.5045419169726924,0.696639563153278,3.2190308316137305e-05
5,10420076.323242188,347530.6964111328,0.5231420715867983,0.6957160561877294,3.2190308316137305e-05
6,10108844.669433594,352654.3028564453,0.547207762367595,0.6918968435328241,3.2190308316137305e-05
7,9857274.301269531,347087.56329345703,0.5644345689318856,0.6769235958682507,3.2190308316137305e-05
8,9386085.790039062,413567.5051269531,0.5934906417560075,0.648981510509177,3.2190308316137305e-05
9,9191746.411132812,367233.46423339844,0.6053663093100291,0.6680011287917125,3.2190308316137305e-05
10,8798715.374511719,357104.1912841797,0.6299802522728538,0.6544505418830803,2.2533215821296116e-05
11,8474393.372802734,358147.0009765625,0.651930945213095,0.6693366583665415,2.2533215821296116e-05
12,8171948.900390625,372856.57763671875,0.6702752075912162,0.6497564713488068,1.5773251074907284e-05
13,7977338.32421875,379120.77502441406,0.6805456286457057,0.657198437416206,1.5773251074907284e-05
14,7937564.92578125,379392.6276855469,0.68324893724918,0.650883059833778,1.10412757524351e-05
15,7709335.8154296875,382920.78564453125,0.6978307887965305,0.6549590152576433,1.10412757524351e-05
16,7776515.224609375,370668.9699707031,0.6931319168019194,0.6528466724599713,7.728893026704571e-06
17,7470338.355712891,376905.52978515625,0.7046311999483459,0.6489811441424416,7.728893026704571e-06
18,7517349.484863281,370890.12634277344,0.7079221784655669,0.6488181800021885,5.4102251186932e-06
19,7527411.548095703,375712.5928955078,0.7055148346886007,0.6479115524364165,5.4102251186932e-06
20,7421025.2939453125,374786.353515625,0.7127953064774716,0.6556968412985442,3.7871575830852402e-06
21,7378569.744506836,372322.83203125,0.7138348180830539,0.6511643780716796,3.7871575830852402e-06
22,7343357.549316406,375269.8864746094,0.7169187417675048,0.6526590072532719,2.6510103081596685e-06
23,7448819.571777344,377044.38342285156,0.712882873141318,0.646693978447582,2.6510103081596685e-06
24,7439958.070068359,374069.466796875,0.7126814743045566,0.6504012249529458,1.855707215711768e-06
25,7254760.577636719,377574.48486328125,0.7201585735266607,0.6483571999531571,1.855707215711768e-06
26,7324484.841064453,372911.0905761719,0.7160656882600281,0.6516290661170423,1.2989950509982377e-06
27,7398279.738037109,372532.5129394531,0.7150769304052227,0.651572143890033,1.2989950509982377e-06
28,7340119.156738281,373987.5263671875,0.7162205771042023,0.650386420084588,9.092965356987664e-07
29,7290937.050170898,372301.1247558594,0.7194036373158769,0.6505295896368823,9.092965356987664e-07
