,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,14433899.47265625,532220.064453125,0.16821172643395382,0.4545914859098139,4.598615473733901e-05
1,13389634.731445312,553969.2006835938,0.26769982250072555,0.4647567117835943,4.598615473733901e-05
2,13002461.14453125,501066.5078125,0.3090334944238533,0.4936032869950999,4.598615473733901e-05
3,12590286.334960938,495980.15283203125,0.34572784906947074,0.4955537145301846,4.598615473733901e-05
4,12277499.0234375,494693.24560546875,0.3737748914900112,0.4799229944747172,4.598615473733901e-05
5,11919921.6640625,503075.35498046875,0.4132469250386372,0.4886541745631934,4.598615473733901e-05
6,11417867.864257812,531381.70703125,0.4488003442931948,0.47684372628182736,4.598615473733901e-05
7,10832415.890625,501491.24169921875,0.49504909520863893,0.4676460117930449,3.2190308316137305e-05
8,10230310.643554688,501540.60693359375,0.5301465257500823,0.48062230904973646,3.2190308316137305e-05
9,9846510.140136719,520640.75830078125,0.5599380864901661,0.47032138126856815,2.2533215821296116e-05
10,9579788.879394531,516649.7900390625,0.5753273394605013,0.45457921410719704,2.2533215821296116e-05
11,9162298.458007812,506913.4387207031,0.6033424489775765,0.46264182225001926,1.5773251074907284e-05
12,9111076.551269531,515418.18212890625,0.6108883696281999,0.4623920744191179,1.5773251074907284e-05
13,8863595.497070312,510729.97607421875,0.6269725770199368,0.45455391803916556,1.10412757524351e-05
14,8717985.913574219,526707.298828125,0.6364123288668038,0.44258871165162483,1.10412757524351e-05
15,8525248.483642578,514943.5146484375,0.6454988333833416,0.4487879388673578,7.728893026704571e-06
16,8674231.104980469,530791.8693847656,0.6448860693148653,0.4440914714744815,7.728893026704571e-06
17,8347277.869628906,533672.1943359375,0.6546180325207052,0.4402246016706792,5.4102251186932e-06
18,8377471.602050781,529353.9145507812,0.6551645457139141,0.4419467522347652,5.4102251186932e-06
19,8389240.802246094,517286.37939453125,0.6576473219978093,0.44222053529780053,3.7871575830852402e-06
20,8174280.4072265625,527638.1716308594,0.6656230404613944,0.4380846520239968,3.7871575830852402e-06
21,8276272.9150390625,527185.9291992188,0.6640521615778092,0.436219138829822,2.6510103081596685e-06
22,8220692.36328125,525066.40625,0.6680929169026666,0.4350287441879458,2.6510103081596685e-06
23,8208146.968017578,530954.5712890625,0.6682576221361392,0.43762594045764325,1.855707215711768e-06
24,8117006.8876953125,526114.3940429688,0.6720613715103926,0.43756828997808567,1.855707215711768e-06
25,8085529.667236328,529656.2707519531,0.6737312274820392,0.4374501546135591,1.2989950509982377e-06
26,8204100.577636719,524064.17236328125,0.6698163692209961,0.4365811966164084,1.2989950509982377e-06
27,8091491.984375,526501.3759765625,0.6744496940462795,0.43481845760486904,9.092965356987664e-07
28,8084248.421142578,526593.8159179688,0.6734153242772537,0.43960209760336977,9.092965356987664e-07
29,8005030.918701172,528940.0463867188,0.6794485296134191,0.43539295558400204,6.365075749891366e-07
