,total_loss,avg_loss,correlation,p
paraphrase_last_zh,540167.4458007812,540.1674458007813,0.11107993991690955,0.00043291794968126646
labse_last_zh,322277.3837890625,322.2773837890625,0.08003111406008885,0.011351024454094484
bert-mean_best_et,806401.5244140625,806.4015244140625,0.4848696781866049,4.3088398409769924e-60
xlmr_last_zh,525287.8927001953,525.2878927001954,0.08703624207749122,0.005885143215529531
laser_last_et,746328.4018554688,746.3284018554688,0.43561984675849624,1.4398112804313778e-47
bert-mean_last_et,895803.3994140625,895.8033994140625,0.4405740942589853,9.755986863588975e-49
bert-cls_best_zh,269707.7341308594,269.70773413085936,0.17277265184918883,3.838740459793411e-08
laser_best_et,760292.6826171875,760.2926826171876,0.44548331371436817,6.480687454426721e-50
bert-cls_last_et,820551.197265625,820.551197265625,0.4500294109349398,5.055375097669979e-51
distil_last_et,817519.697265625,817.519697265625,0.4256071887656378,2.900967498911868e-45
bert-mean_best_zh,206112.9122314453,206.1129122314453,0.14049631964757156,8.216509874423138e-06
bert-mean_last_zh,373529.23791503906,373.52923791503906,0.09312561000029387,0.003202360178583073
xlmr_best_et,838558.900390625,838.558900390625,0.37865970676488514,1.914140199362074e-35
distil_best_zh,485687.5617675781,485.68756176757813,0.06020953074184074,0.056996437111351786
bert-cls_last_zh,323985.78063964844,323.98578063964845,0.13290960059577941,2.481969022664162e-05
paraphrase_best_zh,452672.1970214844,452.67219702148435,0.13924221502016765,9.903803286889602e-06
distil_best_et,830180.873046875,830.180873046875,0.41951548788890075,6.713718792427366e-44
laser_best_zh,397214.99182128906,397.21499182128906,0.16088839504089927,3.1419099457269516e-07
labse_best_zh,171889.80102539062,171.88980102539062,0.12258962874713046,0.00010172371487356181
labse_last_et,957991.42578125,957.99142578125,0.3700295791190143,8.324051283304214e-34
labse_best_et,771369.3447265625,771.3693447265625,0.4755938139251795,1.4198350571520924e-57
paraphrase_last_et,880954.3701171875,880.9543701171875,0.44344066123665665,2.013576968193447e-49
distil_last_zh,521008.6325683594,521.0086325683594,0.08398392397616682,0.007879765362743414
laser_last_zh,383318.4227294922,383.31842272949217,0.1526910199948457,1.2287376057070573e-06
bert-cls_best_et,771208.10546875,771.20810546875,0.5215879821912512,7.434639959402648e-71
xlmr_last_et,791763.7314453125,791.7637314453125,0.42651216614974724,1.8090382216371817e-45
xlmr_best_zh,547269.0363769531,547.2690363769532,0.07880889329152915,0.012669839633050127
paraphrase_best_et,857871.0112304688,857.8710112304688,0.41507113155090375,6.3806308153696505e-43
