,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,9665111.720947266,343784.02001953125,0.4636630952600839,0.6695024187922062,0.0002365898607368
1,7880685.0751953125,354512.23095703125,0.5967167177570636,0.6589980743502083,0.0002365898607368
2,6997575.267089844,353666.3759765625,0.6552553628520833,0.6668163839211536,0.0002365898607368
3,5396628.004394531,342874.51513671875,0.74875780526206,0.6727088331233572,4.731797214736e-05
4,4706062.610473633,349789.48974609375,0.7879775572419331,0.6701302535183861,4.731797214736e-05
5,4044924.5396728516,361489.37939453125,0.8203563560371495,0.656981646243104,4.731797214736e-05
6,3564239.894104004,366577.501953125,0.84559771089284,0.652519587178663,9.463594429472002e-06
7,3344696.9379882812,369426.91650390625,0.855538858895552,0.6519160925770096,9.463594429472002e-06
8,3296441.4072875977,369979.234375,0.8592717530006424,0.65041134478008,1.8927188858944004e-06
9,3300447.0930786133,371306.50732421875,0.8584245695860748,0.6490916919800327,1.8927188858944004e-06
10,3281256.6050720215,371792.375,0.8598352078689155,0.6485654998059198,3.785437771788801e-07
11,3270104.929321289,371923.16748046875,0.8599569960071547,0.6485085856705036,3.785437771788801e-07
