,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,11226367.51171875,367239.2442626953,0.41032555240765634,0.6418761142899778,0.001
1,10413763.703613281,368108.8349609375,0.4714392265150599,0.6609363098154157,0.001
2,9895837.712890625,295938.6982421875,0.508997437505587,0.7056253173391883,0.001
3,9759966.34375,370205.3895263672,0.5121465772869692,0.6832226048254952,0.001
4,9720107.683105469,313144.6057739258,0.5194580321800621,0.7154852192828658,0.001
5,9170744.481933594,289922.6382446289,0.5573152644105649,0.7293518216727073,0.0001
6,8875950.681640625,290373.17907714844,0.5710405362729118,0.727227967510951,0.0001
7,8741549.426269531,277792.39685058594,0.5814412042772804,0.7304430917785827,0.0001
8,8538755.887207031,287389.6727294922,0.5913217256906625,0.7312297824139338,0.0001
9,8636495.927246094,282699.22619628906,0.5917961984811937,0.724650650425317,0.0001
10,8474500.142578125,287994.44842529297,0.5999021897787161,0.726249512691007,1e-05
11,8420036.514648438,285071.3310546875,0.60520840242049,0.727000590552701,1e-05
12,8494453.216796875,288006.6271972656,0.5983448982694344,0.7269193751479551,1.0000000000000002e-06
13,8389587.098144531,288323.40625,0.6047002913994884,0.7269520332511429,1.0000000000000002e-06
14,8352705.677734375,288393.5884399414,0.6061034389482028,0.7269578826534375,1.0000000000000002e-07
15,8405931.041015625,288474.02294921875,0.6059304215954411,0.7269609106086603,1.0000000000000002e-07
