,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,12797425.34765625,480062.81689453125,0.25271938630543433,0.4774164429863177,0.001
1,12047178.346679688,464199.4611816406,0.32322687706420705,0.4722441486553635,0.001
2,11766150.017089844,449300.7033691406,0.3530543683915267,0.512849430906458,0.001
3,11131363.412109375,445033.6071777344,0.4029828550536587,0.5212858585606026,0.001
4,10928748.937011719,442903.20263671875,0.42446928566586856,0.5152428370327808,0.001
5,10467915.875488281,440019.4267578125,0.45928689862605704,0.5587744422758056,0.001
6,10278058.155761719,415098.0563964844,0.4779340429816766,0.5415291529586634,0.001
7,9880180.192382812,428331.54931640625,0.5094231310223191,0.5252824737955326,0.001
8,9578603.321289062,444751.9440917969,0.5286755700936242,0.511211443732053,0.001
9,8578578.546386719,441929.55517578125,0.591723181361416,0.5333235769814236,0.0001
10,8244904.1640625,447164.13623046875,0.6189224235211425,0.5298166333908536,0.0001
11,7809615.660644531,445216.0446777344,0.6396091635436358,0.5301346060421235,1e-05
12,7878781.058105469,444315.58154296875,0.6381315596606587,0.5302466300775572,1e-05
13,7877685.335449219,444051.79833984375,0.6389890329521867,0.5302192440979998,1.0000000000000002e-06
14,8035048.033691406,444153.640625,0.6316431068299072,0.5301710590675442,1.0000000000000002e-06
15,7862483.650634766,444127.185546875,0.6427427769073839,0.5301639310677771,1.0000000000000002e-07
16,7754359.46484375,444056.4689941406,0.6448117716791383,0.5301591519644305,1.0000000000000002e-07
