,train_loss,validation_loss,train_correlation,validation_correlation,lr
0,11395358.810058594,390023.693359375,0.38271636653675384,0.6256238243630537,0.001
1,9647086.31640625,334877.34619140625,0.5242615465158045,0.6607184743173042,0.001
2,8561408.066894531,368400.9970703125,0.5993269775187077,0.6389488379343662,0.001
3,7455708.710205078,404493.892578125,0.6660516157695502,0.6326579508738821,0.001
4,6593772.501708984,353782.71533203125,0.7203872134889852,0.6420328601596228,0.0001
5,6121148.060913086,357168.0495605469,0.7412996790511569,0.6394753514445535,0.0001
6,5742650.975219727,357905.7119140625,0.7620286714655966,0.6400298356304323,1e-05
7,5665154.461303711,356478.3444824219,0.7674382107990763,0.6398249247161883,1e-05
8,5521632.504638672,357265.9140625,0.7703970120238768,0.6396607602752387,1.0000000000000002e-06
9,5705857.5830078125,357839.7565917969,0.7632987722413962,0.6395328942948597,1.0000000000000002e-06
10,5668374.619506836,357862.806640625,0.7656245088853042,0.6395308171491028,1.0000000000000002e-07
11,5774720.265869141,357887.2314453125,0.7621696577962018,0.6395281304178313,1.0000000000000002e-07
