,total_loss,avg_loss,correlation,p
labse_last_et,1024482.9296875,1024.4829296875,0.38538387671374386,9.349365418427771e-37
paraphrase_best_et,961525.76171875,961.52576171875,0.4351494095859216,1.854850645503611e-47
laser_last_zh,469036.671875,469.036671875,0.12037462032920092,0.0001357967398300101
distil_last_zh,611012.625,611.012625,0.1731727920681824,3.567124778594847e-08
bert-cls_best_zh,290472.2528076172,290.47225280761717,0.16448238222848394,1.6900846174799365e-07
distil_best_et,870004.4389648438,870.0044389648438,0.4232911880693342,9.6512385224176e-45
xlmr_last_et,893186.6953125,893.1866953125,0.4096743532064158,9.391057108452483e-42
bert-cls_last_et,854360.8935546875,854.3608935546876,0.43433476295980167,2.873361496411402e-47
bert-cls_last_zh,386187.03942871094,386.18703942871093,0.12336900014664816,9.178493587252962e-05
paraphrase_best_zh,586091.6728515625,586.0916728515625,0.13000760936130965,3.7304193639697444e-05
distil_last_et,851323.7915039062,851.3237915039062,0.4269972778799946,1.4036202352160806e-45
bert-mean_best_zh,255695.91381835938,255.69591381835937,0.1208608834301798,0.0001275048647734132
bert-mean_last_et,839863.4990234375,839.8634990234375,0.37420723021618874,1.3596551397905723e-34
laser_best_et,746990.5537109375,746.9905537109375,0.4351669786145446,1.8374005993085124e-47
labse_best_et,1018304.5390625,1018.3045390625,0.41338380864829155,1.486945412189078e-42
laser_last_et,868419.3950195312,868.4193950195313,0.3940364139345556,1.729816519906319e-38
labse_last_zh,358578.0771484375,358.5780771484375,0.09040962046819807,0.004219224061732144
bert-mean_best_et,776018.830078125,776.018830078125,0.46095842400088843,9.349950102149594e-54
bert-mean_last_zh,414785.97009277344,414.7859700927734,0.06102245580947558,0.05372044348900115
labse_best_zh,332302.85205078125,332.30285205078127,0.09887462969906097,0.0017453676919060256
distil_best_zh,496042.9755859375,496.0429755859375,0.13124659744678382,3.138020135054207e-05
paraphrase_last_zh,599724.0634765625,599.7240634765625,0.12771018156254088,5.1197012166568166e-05
paraphrase_last_et,971116.337890625,971.116337890625,0.4277120100413654,9.650795747676359e-46
laser_best_zh,461488.619140625,461.488619140625,0.13697323919928395,1.3829032960683871e-05
xlmr_best_zh,544399.6796875,544.3996796875,0.09032867497737632,0.004253586254731151
xlmr_last_zh,605727.3630371094,605.7273630371094,0.11011720910971813,0.00048579280826603453
xlmr_best_et,855923.3286132812,855.9233286132812,0.43246452009080194,7.812972903124679e-47
bert-cls_best_et,830763.396484375,830.763396484375,0.4809633110953928,5.060098676597439e-59
